"StationID","Replicate","SampleDate","Latitude","Longitude","SalZone","AMBI_Score","S","H","Oligo_pct","MAMBI_Score","Orig_MAMBI_Condition","New_MAMBI_Condition","Use_MAMBI","Use_AMBI","YesEG","B13_Stratum.x","NumOfTaxa.x","NumOfMolluscTaxa.x","NumOfCrustaceanTaxa","CrustaceanAbun","M_insidiosumAbun","A_diegensisAbun","G_littoreaAbun","CapitellaAbun","OligochaetaAbun","scaled_NumTaxa","scaled_NumMolluscTaxa","scaled_NumCrustaceanTaxa","scaled_CrustaceanAbun","TWV","NIT","PIT","Raw_RBI","Score.x","Category.x","Category_Score.x","B13_Stratum.y","NumOfTaxa.y","NumOfMolluscTaxa.y","NotomastusAbun","PctSensTaxa","Score.y","Category.y","Category_Score.y","Index.x","B13_Stratum","Score","Category","Category_Score","Index.y"
"B18-10182",1,2018-09-19,32.55694,-117.12755,"WEH",1.92,20,3.13739849900015,NA,0.599,"Good","Reference","Yes","Yes",98,"Estuaries",71,45,10,34,0,0,0,NA,NA,0.717171717171717,1.60714285714286,0.344827586206897,0.0200826934435913,2.67416283388237,0,0,2.67416283388237,0.563787384623106,"Reference",1,"Estuaries",71,45,1,NA,NA,NA,NA,"IBI","Estuaries",47.2155720261837,"Low Disturbance",2,"BRI"
"B18-10199",1,2018-08-08,32.65825,-117.08304,"WPH",2.87026359143328,18,1.32104875012364,NA,0.393,"Moderate","Moderate Disturbance","Yes","Yes",99.670510708402,"Brackish Estuaries",80,23,22,1099,0,0,0,2,6,0.808080808080808,0.821428571428571,0.758620689655172,0.649143532191376,2.5504159522124,-0.2,0,2.3504159522124,0.494758198765969,"Reference",1,"Brackish Estuaries",80,23,0,NA,NA,NA,NA,"IBI","Brackish Estuaries",80.2993623979004,"High Disturbance",4,"BRI"
"B18-10194",1,2018-08-10,32.97614,-117.24785,"WEH",1.77224199288256,31,3.35137916449721,NA,0.669,"Good","Reference","Yes","Yes",82.3250296559905,"Estuaries",124,35,32,91,0,0,0,9,3,1.25252525252525,1.25,1.10344827586207,0.0537507383343178,3.6194112129709,-0.2,0,3.4194112129709,0.722688957989531,"Reference",1,"Estuaries",124,35,0,NA,NA,NA,NA,"IBI","Estuaries",61.9370967546211,"Moderate Disturbance",3,"BRI"
"B18-10201",1,2018-09-26,32.59896,-117.11546,"WEH",2.19341317365269,43,4.20175291059013,NA,0.76,"Good","Reference","Yes","Yes",83.1137724550898,"Estuaries",155,38,31,205,0,0,0,6,66,1.56565656565657,1.35714285714286,1.06896551724138,0.121086828115771,4.02203664706975,-0.2,0,3.82203664706975,0.808536598522334,"Reference",1,"Estuaries",155,38,0,NA,NA,NA,NA,"IBI","Estuaries",48.9661273911457,"Low Disturbance",2,"BRI"
"B18-10201",2,2018-09-26,32.59896,-117.11546,"WEH",2.08081155433287,54,4.39167714976773,NA,0.826,"High","Reference","Yes","With Care",74.6217331499312,"Estuaries",183,40,52,425,0,0,0,9,88,1.84848484848485,1.42857142857143,1.79310344827586,0.251033668044891,5.13291814234336,-0.2,0,4.93291814234336,1.04539832459347,"Reference",1,"Estuaries",183,40,0,NA,NA,NA,NA,"IBI","Estuaries",50.7691321482534,"Moderate Disturbance",3,"BRI"
"B18-10824",1,2018-09-26,32.58854,-117.10763,"WEH",3.53087885985748,20,3.19843746849526,NA,0.502,"Moderate","Low Disturbance","Yes","Yes",88.8361045130641,"Estuaries",101,31,22,69,0,0,0,21,124,1.02020202020202,1.10714285714286,0.758620689655172,0.0407560543414058,2.8961545805854,-0.2,0,2.6961545805854,0.568476456414798,"Reference",1,"Estuaries",101,31,0,NA,NA,NA,NA,"IBI","Estuaries",64.5656243768773,"Moderate Disturbance",3,"BRI"
"B18-10173",1,2018-09-12,33.08952,-117.28498,"WEH",1.80405405405405,23,3.45813767676264,NA,0.645,"Good","Reference","Yes","With Care",59.7297297297297,"Estuaries",101,33,32,134,0,0,0,NA,12,1.02020202020202,1.17857142857143,1.10344827586207,0.0791494388659185,3.322009084352,-0.1,0,3.222009084352,0.680598951887419,"Reference",1,"Estuaries",101,33,0,NA,NA,NA,NA,"IBI","Estuaries",58.479110201594,"Moderate Disturbance",3,"BRI"
"B18-10171",1,2018-09-12,33.08992,-117.27848,"WEH",5.49607072691552,11,1.09516772739429,NA,0.166,"Bad","High Disturbance","Yes","Yes",99.2141453831041,"Estuaries",65,16,4,3,0,0,0,2,416,0.656565656565657,0.571428571428571,0.137931034482759,0.00177200236266982,1.36636826306765,-0.2,0,1.16636826306765,0.242296004918476,"Low Disturbance",2,"Estuaries",65,16,0,NA,NA,NA,NA,"IBI","Estuaries",64.1816476806262,"Moderate Disturbance",3,"BRI"
"B18-10172",1,2018-09-12,33.0896,-117.29459,"WEH",1.7710843373494,25,3.33881806537046,NA,0.645,"Good","Reference","Yes","With Care",71.6867469879518,"Estuaries",77,46,20,53,0,0,0,NA,NA,0.777777777777778,1.64285714285714,0.689655172413793,0.0313053750738334,3.11811643681717,0,0,3.11811643681717,0.658447001453555,"Reference",1,"Estuaries",77,46,0,NA,NA,NA,NA,"IBI","Estuaries",45.9789491168005,"Low Disturbance",2,"BRI"
"B18-10170",1,2018-09-11,33.13903,-117.33747,"WEH",1.80150753768844,25,3.23962956598197,NA,0.635,"Good","Reference","Yes","Yes",98.4924623115578,"Estuaries",91,40,10,4,0,1,0,NA,1,0.919191919191919,1.42857142857143,0.344827586206897,0.00236266981689309,2.69318160142447,-0.1,0.438691337650831,3.47056427672613,0.733595794611115,"Reference",1,"Estuaries",91,40,0,NA,NA,NA,NA,"IBI","Estuaries",44.0409833278513,"Low Disturbance",2,"BRI"
"B18-10169",1,2018-09-11,33.13982,-117.31879,"WEH",2.04166666666667,14,3.25376592711062,NA,0.578,"Good","Reference","Yes","Yes",100,"Estuaries",85,34,NA,NA,0,0,0,1,4,0.858585858585859,1.21428571428571,0,0,2.07287157287157,-0.2,0,1.87287157287157,0.392936369482212,"Reference",1,"Estuaries",85,34,0,NA,NA,NA,NA,"IBI","Estuaries",66.3207238110852,"Moderate Disturbance",3,"BRI"
"B18-10168",1,2018-09-11,33.14021,-117.32424,"WEH",1.57692307692308,11,2.89378609696779,NA,0.566,"Good","Low Disturbance","Yes","Yes",89.7435897435897,"Estuaries",42,25,1,2,0,0,0,NA,NA,0.424242424242424,0.892857142857143,0.0344827586206897,0.00118133490844654,1.35187765944737,0,0,1.35187765944737,0.281850247216923,"Reference",1,"Estuaries",42,25,0,NA,NA,NA,NA,"IBI","Estuaries",63.6038501540052,"Moderate Disturbance",3,"BRI"
