"SortID","SpeciesID","Taxon","Phylum","Subphylum","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Subgenus","species","Describer","flag","B-Code","IBI Sensitive Taxa"
,9719.00,"Abietinaria pacifica","Cnidaria","Medusozoa","Hydrozoa",,,,"Leptothecata",,,,"Sertulariidae",,,"Abietinaria",,"pacifica",,0,,0
,10211.00,"Acoela","Xenacoelomorpha","Aceolomorpha","Acoela",,,,,,,,,,,,,,,0,,0
,9648.00,"Aetea sp","Bryozoa",,"Gymnolaemata",,,,"Cheilostomata","Anasca",,,"Aeteidae",,,"Aeteidae",,,,0,,0
,9649.00,"Alcyonidium mamillatum","Bryozoa",,"Gymnolaemata",,,,"Ctenostomatida","Carnosa",,,"Alcyonidiidae",,,"Alcyonidium",,"mamillatum",,0,,0
,9870.00,"Amphioplus sp OC1","Echinodermata",,"Ophiuroidea",,,,"Ophiurida","Gnathophiurina",,,"Amphiuridae",,,"Amphioplus",,"sp OC1",,0,,0
,9329.00,"Amphisamytha sp","Annelida",,"Polychaeta","Sedentaria","Canalipalpata",,"Terebellida","Terebellimorpha",,,"Ampharetidae","Ampharetinae",,"Amphisamytha",,,,0,,0
,9330.00,"Aricidea (Acmira) sp A","Annelida",,"Polychaeta","Sedentaria",,,"Orbiniida",,,,"Paraonidae",,,"Aricidea",,"sp A",,0,,0
,10091.00,"Baseodiscus mexicanus","Nemertea",,"Anopla","Heteronemertea",,,"Heteronemertea",,,,"Valenciniidae",,,"Baseodiscus",,"mexicanus",,0,,0
5150.00,18.00,"Mycale psila","SILICEA","","Demospongiae","Ceractinomorpha","","","Poecilosclerida","Mycalina","","","Mycalidae","","","Mycale","","psila","(de Laubenfels 1930)",0,,0
5200.00,2717.00,"Halichondrida","SILICEA","","Demospongiae","Ceractinomorpha","","","Halichondrida","","","","","","","","","","",0,,0
5300.00,3154.00,"Axinellidae","SILICEA","","Demospongiae","Ceractinomorpha","","","Halichondrida","","","","Axinellidae","","","","","","",0,,0
5400.00,19.00,"Axinella sp","SILICEA","","Demospongiae","Ceractinomorpha","","","Halichondrida","","","","Axinellidae","","","Axinella","","","",0,,0
5420.00,7939.00,"Desmoxyidae","SILICEA","","Demospongiae","Ceractinomorpha","","","Halichondrida","","","","Desmoxyidae","","","","","","",0,,0
5435.00,7941.00,"Higginsia sp","SILICEA","","Demospongiae","Ceractinomorpha","","","Halichondrida","","","","Desmoxyidae","","","Higginsia","","","",0,,0
5440.00,7942.00,"Halichondriidae","SILICEA","","Demospongiae","Ceractinomorpha","","","Halichondrida","","","","Halichondriidae","","","","","","",0,,0
5445.00,7943.00,"Halichondria sp","SILICEA","","Demospongiae","Ceractinomorpha","","","Halichondrida","","","","Halichondriidae","","","Halichondria","","","",0,,0
5450.00,7944.00,"Halichondria bowerbanki","SILICEA","","Demospongiae","Ceractinomorpha","","","Halichondrida","","","","Halichondriidae","","","Halichondria","","bowerbanki","Burton 1930",0,,0
5455.00,7945.00,"Halichondria panicea","SILICEA","","Demospongiae","Ceractinomorpha","","","Halichondrida","","","","Halichondriidae","","","Halichondria","","panicea","(Pallas 1766)",0,,0
5465.00,7946.00,"Hymeniacidon sp","SILICEA","","Demospongiae","Ceractinomorpha","","","Halichondrida","","","","Halichondriidae","","","Hymeniacidon","","","",0,,0
5470.00,7947.00,"Hymeniacidon sinapium","SILICEA","","Demospongiae","Ceractinomorpha","","","Halichondrida","","","","Halichondriidae","","","Hymeniacidon","","sinapium","de Laubenfels 1930",0,,0
5475.00,7948.00,"Hymeniacidon ungodon","SILICEA","","Demospongiae","Ceractinomorpha","","","Halichondrida","","","","Halichondriidae","","","Hymeniacidon","","ungodon","de Laubenfels 1932",0,,0
5550.00,2718.00,"Haplosclerida","SILICEA","","Demospongiae","Ceractinomorpha","","","Haplosclerida","","","","","","","","","","",0,,0
5600.00,2835.00,"Haplosclerina","SILICEA","","Demospongiae","Ceractinomorpha","","","Haplosclerida","Haplosclerina","","","","","","","","","",0,,0
5700.00,3206.00,"Chalinidae","SILICEA","","Demospongiae","Ceractinomorpha","","","Haplosclerida","Haplosclerina","","","Chalinidae","","","","","","",0,,0
5720.00,7949.00,"Chalinula sp","SILICEA","","Demospongiae","Ceractinomorpha","","","Haplosclerida","Haplosclerina","","","Chalinidae","","","Chalinula","","","",0,,0
5725.00,7950.00,"Chalinula ecbasis","SILICEA","","Demospongiae","Ceractinomorpha","","","Haplosclerida","Haplosclerina","","","Chalinidae","","","Chalinula","","ecbasis","(de Laubenfels 1930)",0,,0
5800.00,4868.00,"Haliclona sp","SILICEA","","Demospongiae","Ceractinomorpha","","","Haplosclerida","Haplosclerina","","","Chalinidae","","","Haliclona","","","",0,,0
5820.00,7951.00,"Haliclona (Haliclona) gellindra","SILICEA","","Demospongiae","Ceractinomorpha","","","Haplosclerida","Haplosclerina","","","Chalinidae","","","Haliclona","(Haliclona)","gellindra","(de Laubenfels 1932)",0,,0
5850.00,20.00,"Haliclona (Rhizoniera) enamela","SILICEA","","Demospongiae","Ceractinomorpha","","","Haplosclerida","Haplosclerina","","","Chalinidae","","","Haliclona","(Rhizoniera)","enamela","de Laubenfels 1930",0,,0
5900.00,7952.00,"Niphatidae","SILICEA","","Demospongiae","Ceractinomorpha","","","Haplosclerida","Haplosclerina","","","Niphatidae","","","","","","",0,,0
5920.00,7953.00,"Niphates sp","SILICEA","","Demospongiae","Ceractinomorpha","","","Haplosclerida","Haplosclerina","","","Niphatidae","","","Niphates","","","",0,,0
5925.00,7954.00,"Niphates lunisimilis","SILICEA","","Demospongiae","Ceractinomorpha","","","Haplosclerida","Haplosclerina","","","Niphatidae","","","Niphates","","lunisimilis","(de Laubenfels 1930)",0,,0
5950.00,7955.00,"Petrosina","SILICEA","","Demospongiae","Ceractinomorpha","","","Haplosclerida","Petrosina","","","","","","","","","",0,,0
5955.00,7956.00,"Petrosiidae","SILICEA","","Demospongiae","Ceractinomorpha","","","Haplosclerida","Petrosina","","","Petrosiidae","","","","","","",0,,0
5965.00,7957.00,"Neopetrosia sp","SILICEA","","Demospongiae","Ceractinomorpha","","","Haplosclerida","Petrosina","","","Petrosiidae","","","Neopetrosia","","","",0,,0
5970.00,7958.00,"Neopetrosia zumi","SILICEA","","Demospongiae","Ceractinomorpha","","","Haplosclerida","Petrosina","","","Petrosiidae","","","Neopetrosia","","zumi","(Ristau 1978)",0,,0
5975.00,7959.00,"Xestospongia sp","SILICEA","","Demospongiae","Ceractinomorpha","","","Haplosclerida","Petrosina","","","Petrosiidae","","","Xestospongia","","","",0,,0
5980.00,7960.00,"Xestospongia dubia","SILICEA","","Demospongiae","Ceractinomorpha","","","Haplosclerida","Petrosina","","","Petrosiidae","","","Xestospongia","","dubia","(Ristau 1978)",0,,0
100.00,2570.00,"SILICEA","SILICEA","","","","","","","","","","","","","","","","",0,,0
200.00,2600.00,"Hexactinellida","SILICEA","","Hexactinellida","","","","","","","","","","","","","","",0,,0
300.00,2635.00,"Hexasterophora","SILICEA","","Hexactinellida","Hexasterophora","","","","","","","","","","","","","",0,,0
400.00,2721.00,"Hexactinosa","SILICEA","","Hexactinellida","Hexasterophora","","","Hexactinosa","","","","","","","","","","",0,,0
500.00,2872.00,"Scopularia","SILICEA","","Hexactinellida","Hexasterophora","","","Hexactinosa","Scopularia","","","","","","","","","",0,,0
600.00,3130.00,"Aphrocallistidae","SILICEA","","Hexactinellida","Hexasterophora","","","Hexactinosa","Scopularia","","","Aphrocallistidae","","","","","","",0,,0
