"StationID","Replicate","SampleDate","Latitude","Longitude","Species","Abundance","Salinity","Stratum","Exclude"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Capitellidae",1,33.69,"Estuaries","Yes"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Diopatra sp",1,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Dorvillea (Schistomeringos) annulata",5,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Dorvillea (Schistomeringos) longicornis",1,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Exogone sp A",8,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Mediomastus sp",78,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Neanthes acuminata Cmplx",9,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Nereididae",589,33.69,"Estuaries","Yes"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Notomastus sp",1,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Platynereis bicanaliculata",1,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Prionospio heterobranchia",5,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Prionospio lighti",1,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Pseudopolydora paucibranchiata",8,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Scoletoma tetraura Cmplx",2,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Spionidae",43,33.69,"Estuaries","Yes"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Alpheus sp",1,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Copepoda",1,33.69,"Estuaries","Yes"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Grandidierella japonica",5,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Mayerella acanthopoda",11,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Oxyurostylis pacifica",5,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Paradexamine sp",1,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Photis brevipes",1,33.69,"Estuaries","No"
"B18-10146",1,2018-08-10,33.96385,-118.45196,"Lineidae",15,33.69,"Estuaries","Yes"
