"StationID","Replicate","SampleDate","B13_Stratum","Index","Score","Category","Category_Score","Use_MAMBI"
"B18-10015",1,2018-07-12,"Bays","M-AMBI",NA,NA,NA,"No - No Salinity Value"
"B18-10015",1,2018-07-12,"Bays","BRI",32.9385347291851,"Reference",1,NA
"B18-10015",1,2018-07-12,"Bays","RBI",1.47493688208468,"Reference",1,NA
"B18-10015",1,2018-07-12,"Bays","IBI",3,"High Disturbance",4,NA
"B18-10016",1,2018-07-12,"Bays","M-AMBI",NA,NA,NA,"No - No Salinity Value"
"B18-10016",1,2018-07-12,"Bays","BRI",28.8761293914015,"Reference",1,NA
"B18-10016",1,2018-07-12,"Bays","RBI",5.93429626955449,"Reference",1,NA
"B18-10016",1,2018-07-12,"Bays","IBI",3,"High Disturbance",4,NA
"B18-10017",1,2018-07-13,"Bays","M-AMBI",NA,NA,NA,"No - No Salinity Value"
"B18-10017",1,2018-07-13,"Bays","BRI",38.0642499319075,"Reference",1,NA
"B18-10017",1,2018-07-13,"Bays","RBI",10.8483834064521,"Reference",1,NA
"B18-10017",1,2018-07-13,"Bays","IBI",3,"High Disturbance",4,NA
"B18-10019",1,2018-07-13,"Bays","M-AMBI",NA,NA,NA,"No - No Salinity Value"
"B18-10019",1,2018-07-13,"Bays","BRI",25.5514994856002,"Reference",1,NA
"B18-10019",1,2018-07-13,"Bays","RBI",7.35104163578534,"Reference",1,NA
"B18-10019",1,2018-07-13,"Bays","IBI",3,"High Disturbance",4,NA
"B18-10020",1,2018-07-12,"Bays","M-AMBI",NA,NA,NA,"No - No Salinity Value"
"B18-10020",1,2018-07-12,"Bays","BRI",12.9553630293186,"Reference",1,NA
"B18-10020",1,2018-07-12,"Bays","RBI",0.742178676328961,"Reference",1,NA
"B18-10020",1,2018-07-12,"Bays","IBI",3,"High Disturbance",4,NA
"B18-10022",1,2018-07-18,"Bays","M-AMBI",NA,NA,NA,"No - No Salinity Value"
"B18-10022",1,2018-07-18,"Bays","BRI",19.3854988979682,"Reference",1,NA
"B18-10022",1,2018-07-18,"Bays","RBI",5.69525122461572,"Reference",1,NA
"B18-10022",1,2018-07-18,"Bays","IBI",3,"High Disturbance",4,NA
"B18-10023",1,2018-07-16,"Bays","M-AMBI",NA,NA,NA,"No - No Salinity Value"
"B18-10023",1,2018-07-16,"Bays","BRI",17.4338118564999,"Reference",1,NA
"B18-10023",1,2018-07-16,"Bays","RBI",4.70758110003115,"Reference",1,NA
"B18-10023",1,2018-07-16,"Bays","IBI",3,"High Disturbance",4,NA
"B18-10024",1,2018-07-19,"Bays","M-AMBI",NA,NA,NA,"No - No Salinity Value"
"B18-10024",1,2018-07-19,"Bays","BRI",20.2453747389861,"Reference",1,NA
"B18-10024",1,2018-07-19,"Bays","RBI",5.74814318957712,"Reference",1,NA
"B18-10024",1,2018-07-19,"Bays","IBI",3,"High Disturbance",4,NA
"B18-10029",1,2018-07-19,"Bays","M-AMBI",NA,NA,NA,"No - No Salinity Value"
"B18-10029",1,2018-07-19,"Bays","BRI",39.8037574551227,"Reference",1,NA
"B18-10029",1,2018-07-19,"Bays","RBI",3.01513093176509,"Reference",1,NA
"B18-10029",1,2018-07-19,"Bays","IBI",3,"High Disturbance",4,NA
"B18-10030",1,2018-07-16,"Bays","M-AMBI",NA,NA,NA,"No - No Salinity Value"
"B18-10030",1,2018-07-16,"Bays","BRI",16.0102058712429,"Reference",1,NA
"B18-10030",1,2018-07-16,"Bays","RBI",2.4533895611893,"Reference",1,NA
"B18-10030",1,2018-07-16,"Bays","IBI",3,"High Disturbance",4,NA
"B18-10031",1,2018-07-20,"Bays","M-AMBI",NA,NA,NA,"No - No Salinity Value"
"B18-10031",1,2018-07-20,"Bays","BRI",34.71569728223,"Reference",1,NA
"B18-10031",1,2018-07-20,"Bays","RBI",4.7044134548728,"Reference",1,NA
"B18-10031",1,2018-07-20,"Bays","IBI",3,"High Disturbance",4,NA
